Symbol,CompanyName,Sector,PE_Ratio,EPS,ROE,DebtToEquity,Price,YearHigh,YearLow,AvgVolume,Volatality
MMM,3M Company,Industrials,-0.3493225949684137,-0.014110362562926812,2.404914696238393,1.5350906599168281,-0.21838263328243068,-0.3250209331146686,-0.1610373392611471,-0.3947476734223398,0.750900341243913
AOS,A. O. Smith Corporation,Industrials,-0.4446754883961931,-0.6435217363109539,0.020646176043723673,-0.6891161259399772,-1.0385066026633083,-0.9663424046470022,-0.8715446718200172,-0.5242777862553811,0.09128274445619403
ACN,Accenture plc,Technology,-0.4228102389871683,0.8506764556615092,-0.05369690481586863,-0.6344267886270479,0.6251955110495537,1.4653889921788408,1.0475564479672586,-0.26617697132856166,0.6683230074863162
ADBE,Adobe Inc.,Technology,-0.3534241999999127,1.5271629183048179,0.9178755645268258,-0.40240103922670717,1.6021632429635517,2.685115309773116,2.151289928949446,-0.31045427023322886,0.3331903806732223
AMD,"Advanced Micro Devices, Inc.",Technology,5.38700478362722,-0.9800214458216718,-0.7925123358990179,-0.7749065336349493,0.6095593944154826,0.2768534196537258,-0.6729626540897866,3.651442040586356,1.5582010259300623
AES,The AES Corporation,Utilities,-0.8336444972396286,-1.0427882310153809,-0.8974944228626351,1.5089410407686992,-1.5733197030916293,-1.4471232765586537,-1.427011766173642,0.10326502084115015,0.012782850393020545
AFL,Aflac Incorporated,Financial Services,-0.2098621675824043,-0.49532238238136295,-0.6343468988266763,-0.4134729309332186,-0.6624676495377465,-0.6974751242346506,-0.4426525179460009,-0.4405294321593041,0.3846566794113775
A,"Agilent Technologies, Inc.",Healthcare,0.20442406303953503,-0.5232187313563448,-0.2535072127120979,-0.4033019799775397,-0.33208229621413293,-0.40383872273796534,-0.44850309297261387,-0.4882127135193748,-0.1344978962860703
APD,"Air Products and Chemicals, Inc.",Basic Materials,0.32983110050255504,-0.04200671153790864,-0.6278853348058899,-0.053580607036630826,0.7413081549433039,1.0280305300693544,1.2083347501409125,-0.5356937469330717,-0.24322438498649454
ABNB,"Airbnb, Inc.",Consumer Cyclical,0.08660067469047367,-0.5511150803313266,0.22155718047094164,-0.6050605876247072,-0.4844861737770853,-0.32670278701545674,-0.4096867778922007,-0.2677044737768673,-0.17128247485329756
AKAM,"Akamai Technologies, Inc.",Technology,-0.12903558475702023,-0.7760293939421175,-0.6324297242622261,0.05511305478694189,-0.9956520607773357,-0.7697183940639575,-0.7738850732988612,-0.4734595603660363,-0.004184874816259324
ALGN,"Align Technology, Inc.",Healthcare,-0.2891324114446538,-0.2372811543627813,-0.5542523475280898,-0.7999914046230037,-0.40997332166904266,0.3021576760701285,-0.16081231714473895,-0.4891206331343022,-1.1292685858925404
ALLE,Allegion plc,Industrials,-0.20121592263821803,-0.012366840751990488,0.4250597548744856,0.1061837375138829,0.005445480757142712,-0.20125177559758106,-0.22190582174956347,-0.5397870885967991,3.7928783652188964
LNT,Alliant Energy Corporation,Utilities,-0.36454301833997294,-0.7045449996937265,-0.5354358261890051,0.3549029510742764,-1.0502819497581026,-1.0511995787322197,-0.9024852128261438,-0.4760818235825347,0.1415947079166002
ALL,The Allstate Corporation,Financial Services,-0.9248210014223303,2.4372813036135996,-0.0005845605150328026,-0.5724405758115085,0.15813891603554073,0.0690680150018146,0.4467473971573827,-0.5041635421159235,-2.3882760273295855
GOOGL,Alphabet Inc.,Communication Services,-0.07861238684992873,0.36772091403213675,0.2771901599460224,-0.7379158423115141,0.7638936567480734,0.3873206417736711,0.04767067370745206,1.726649280978517,0.44462991028374665
GOOG,Alphabet Inc.,Communication Services,-0.07492964778037603,0.3659773922212004,0.2771901599460224,-0.7379158423115141,0.7684300609567234,0.3915252765256414,0.07163552910492459,0.9019094554225673,0.41628999654495874
AMZN,"Amazon.com, Inc.",Consumer Cyclical,0.18531142113875948,-0.12569575846285413,-0.07993355083078674,-0.46743258069588683,0.3771410681510181,0.27410129508879993,0.2822562300629934,2.3590702977297986,-0.02162303621340962
AMCR,Amcor plc,Consumer Cyclical,-0.16473121933033322,-1.2136533684871444,-0.7249502954916462,0.14765679521749303,-1.6336442271428295,-1.4939858420669765,-1.445576090777318,0.9827409251707762,0.029632982803315073
AEE,Ameren Corporation,Utilities,-0.2712193380760429,-0.4744001206501267,-0.5965363238773327,0.3722441990799691,-0.692195574990178,-0.7639848012203617,-0.5740654339283858,-0.4959815213705934,0.27437240883065567
AEP,"American Electric Power Company, Inc.",Utilities,-0.545535316552032,-0.08036419137850859,-0.4973411925052023,0.2976001410048001,-0.5751177387116085,-0.6590218282302683,-0.521860302921685,-0.3722269287435544,0.23849294861927867
AXP,American Express Company,Financial Services,-0.257594016895788,1.3266579100471363,0.24545059932262475,0.5561031243717542,1.6608469399605599,1.0974452274291542,0.9466340287581839,-0.42673832511773413,0.09080379115161062
AIG,"American International Group, Inc.",Financial Services,-0.6735452536600709,-0.33666189758615406,-0.6893763999405101,-0.6574119464602696,-0.9624494427395551,-0.9066365911690248,-0.7544206602295527,-0.29550468046775924,0.15815472915252418
AMT,American Tower Corporation,Real Estate,0.32891756183388515,-0.33666189758615406,-0.09729447085960272,2.3892271664539786,0.15128605010332458,0.21149046123673398,0.40748103784415285,-0.4103857035745972,-1.2954966864001156
AWK,"American Water Works Company, Inc.",Utilities,-0.13276675462243942,-0.30004793955649045,-0.5902522921277205,0.22717784661328405,-0.3086281212630262,-0.39114837057747337,-0.1974909221192745,-0.510872659925367,0.6274782986905968
AMP,"Ameriprise Financial, Inc.",Financial Services,-0.6638625339099147,4.325515424857681,1.1083131412846348,-0.3930863542738856,2.8499639580578195,2.8697369993369004,2.923565832462365,-0.5676540580578272,-0.01888754872610649
AME,"AMETEK, Inc.",Industrials,0.05629559220333042,-0.1884625436565631,-0.43961347069159346,-0.6658182448709294,0.09636660340711162,-0.06372199525586351,0.09818813884109154,-0.5173904767203821,-1.6801477729057999
AMGN,Amgen Inc.,Healthcare,-0.19477179158784536,0.8611375865271275,2.5603819126109593,4.810464482463913,1.2154106543664969,0.9878189322596027,1.3164578770750495,-0.44709752375288325,-0.2703933387738334
APH,Amphenol Corporation,Technology,1.006250454590779,-0.8300785700811447,0.14298918303615674,-0.3058812462263666,-0.4800462888069169,-0.60046273332101,-0.8983223036725921,-0.02249738776671194,-0.6204809354778421
ADI,"Analog Devices, Inc.",Technology,1.5560789124813261,-0.5824984729281811,-0.7586780684399962,-0.6332280162230477,0.6641892833962495,0.39343647414017335,0.25154071117327514,-0.36680204822807455,0.21363753754250872
AON,Aon plc,Financial Services,-0.0010732418284124569,0.8001143231443545,0.3688585869246784,0.8498544838911124,1.6090161088957684,1.577155828676668,2.108873260006502,-0.5146154294722262,-0.3304612230978469
